context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0006810	transport	100	AT1G06490;AT1G10390;AT1G20260;AT1G21650;AT1G21890;AT1G22150;AT1G30630;AT1G31120;AT1G31830;AT1G32450;AT1G34065;AT1G43580;AT1G47830;AT1G53210;AT1G58030;AT1G65550;AT1G66950;AT1G74770;AT1G75220;AT2G01320;AT2G01420;AT2G03620;AT2G04030;AT2G04090;AT2G07681;AT2G07687;AT2G13620;AT2G17500;AT2G18960;AT2G24720;AT2G26890;AT2G28170;AT2G28640;AT2G30070;AT2G30290;AT2G34390;AT2G38270;AT2G41560;AT2G42005;AT2G44610;AT2G48130;AT3G01780;AT3G02260;AT3G03620;AT3G05040;AT3G08530;AT3G08790;AT3G09560;AT3G10650;AT3G11730;AT3G19490;AT3G30842;AT3G42640;AT3G44900;AT3G45060;AT3G51310;AT3G51490;AT3G56450;AT3G56640;AT3G61480;AT3G61710;AT3G63380;AT4G00290;AT4G01440;AT4G01820;AT4G02650;AT4G08670;AT4G12120;AT4G13590;AT4G15230;AT4G17140;AT4G18050;AT4G21903;AT4G24980;AT4G26590;AT4G27040;AT4G29380;AT4G38350;AT4G38380;AT5G01990;AT5G04920;AT5G05760;AT5G17020;AT5G18840;AT5G19600;AT5G19760;AT5G20280;AT5G22770;AT5G24740;AT5G25250;AT5G26340;AT5G28350;AT5G37500;AT5G39500;AT5G43370;AT5G46630;AT5G51050;AT5G54310;AT5G55930;AT5G58270	231.985	12.79471668306877	0.4310623531693859	1.0	200	693	200	1.0
CG	gain	GO:0006811	monoatomic ion transport	23	AT1G20260;AT1G31120;AT1G32450;AT1G53210;AT1G74770;AT2G03620;AT2G07681;AT2G07687;AT2G13620;AT2G18960;AT2G24720;AT2G28170;AT2G30070;AT2G38270;AT2G41560;AT3G19490;AT3G42640;AT3G44900;AT3G63380;AT4G00290;AT4G13590;AT5G37500;AT5G51050	54.27	6.3053231479440734	0.42380689146858297	1.0	200	693	200	1.0
CG	gain	GO:0006812	monoatomic cation transport	22	AT1G20260;AT1G31120;AT1G32450;AT1G53210;AT1G74770;AT2G03620;AT2G07681;AT2G07687;AT2G13620;AT2G18960;AT2G24720;AT2G28170;AT2G30070;AT2G38270;AT2G41560;AT3G19490;AT3G42640;AT3G44900;AT3G63380;AT4G13590;AT5G37500;AT5G51050	47.115	5.812209132507185	0.4669425872864268	1.0	200	693	200	1.0
CG	gain	GO:0006813	potassium ion transport	4	AT1G31120;AT1G32450;AT2G30070;AT5G37500	9.7	2.9257477676655617	0.4123711340206186	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0006816	calcium ion transport	5	AT2G24720;AT2G41560;AT3G63380;AT4G13590;AT5G51050	10.4	2.729468812791234	0.4807692307692307	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0006869	lipid transport	6	AT2G48130;AT4G08670;AT4G15230;AT4G17140;AT4G38350;AT5G24740	12.8	3.2249030993194165	0.46875	1.0	200	693	200	1.0
CG	gain	GO:0006873	intracellular monoatomic ion homeostasis	5	AT1G12520;AT1G74770;AT2G24720;AT2G41560;AT5G58270	13.75	3.316247879758086	0.36363636363636365	1.0	200	693	200	1.0
CG	gain	GO:0006886	intracellular protein transport	16	AT1G21650;AT2G26890;AT2G30290;AT3G05040;AT3G08530;AT3G08790;AT3G09560;AT3G56450;AT3G56640;AT3G61480;AT3G61710;AT5G05760;AT5G17020;AT5G22770;AT5G28350;AT5G46630	29.615	5.142642803073155	0.5402667567111261	1.0	200	693	200	1.0
CG	gain	GO:0006897	endocytosis	9	AT1G47830;AT2G26890;AT3G01780;AT3G08530;AT4G02650;AT5G22770;AT5G25250;AT5G39500;AT5G46630	7.57	2.413524393910283	1.1889035667107002	0.3482587064676617	69	693	200	1.0
CG	gain	GO:0006898	receptor-mediated endocytosis	3	AT1G47830;AT4G02650;AT5G22770	4.655	1.888378934430269	0.6444683136412459	0.8805970149253731	176	693	200	1.0
